player_display_name,position,team,opponent_team,passing_yards,passing_tds,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds
Allen Lazard,WR,NYJ,TB,0,0,0,0,0,3,2,13,1
Mark Andrews,TE,BAL,DET,0,0,0,0,0,6,6,91,2
Christian Kirk,WR,HOU,JAX,0,0,0,0,0,8,3,25,0
Nick Chubb,RB,HOU,JAX,0,0,9,38,0,4,3,2,0
Lamar Jackson,QB,BAL,DET,288,3,7,35,0,0,0,0,0
DJ Moore,WR,CHI,DAL,0,0,3,7,0,5,4,21,1
Mike Gesicki,TE,CIN,MIN,0,0,0,0,0,3,1,6,0
Calvin Ridley,WR,TEN,IND,0,0,0,0,0,7,1,27,0
Saquon Barkley,RB,PHI,LA,0,0,18,46,0,5,4,9,0
Baker Mayfield,QB,TB,NYJ,233,1,4,44,0,0,0,0,0
Josh Allen,QB,BUF,MIA,213,3,4,25,0,0,0,0,0
Sam Darnold,QB,SEA,NO,218,2,0,0,0,0,0,0,0
Brett Rypien,QB,CIN,MIN,0,0,0,0,0,0,0,0,0
Andrew Beck,RB,NYJ,TB,0,0,0,0,0,0,0,0,0
Jakobi Meyers,WR,LV,WAS,0,0,0,0,0,4,3,63,0
Justice Hill,RB,BAL,DET,0,0,0,0,0,4,3,45,0
Hunter Renfrow,WR,CAR,ATL,0,0,0,0,0,4,2,6,0
Ashton Dulin,WR,IND,TEN,0,0,0,0,0,0,0,0,0
Jake Browning,QB,CIN,MIN,140,1,1,3,0,0,0,0,0
Olamide Zaccheaus,WR,CHI,DAL,0,0,1,12,0,4,3,24,0
Kyler Murray,QB,ARI,SF,159,1,6,37,0,0,0,0,0
T.J. Hockenson,TE,MIN,CIN,0,0,0,0,0,6,5,49,1
Miles Sanders,RB,DAL,CHI,0,0,9,41,0,3,3,12,0
Josh Oliver,TE,MIN,CIN,0,0,0,0,0,1,1,12,1
Devin Singletary,RB,NYG,KC,0,0,4,11,0,0,0,0,0
Tony Pollard,RB,TEN,IND,0,0,16,45,1,4,2,14,0
David Sills,WR,ATL,CAR,0,0,0,0,0,2,1,9,0
Greg Dortch,WR,ARI,SF,0,0,1,5,0,2,2,3,0
Darius Slayton,WR,NYG,KC,0,0,0,0,0,4,4,30,0
Ty Johnson,RB,BUF,MIA,0,0,3,13,0,2,1,8,0
Drew Sample,TE,CIN,MIN,0,0,0,0,0,3,2,20,1
DK Metcalf,WR,PIT,NE,0,0,0,0,0,4,3,32,1
Noah Fant,TE,CIN,MIN,0,0,0,0,0,5,5,26,0
Gunner Olszewski,WR,NYG,KC,0,0,0,0,0,0,0,0,0
Terry McLaurin,WR,WAS,LV,0,0,0,0,0,4,3,74,0
Marquise Brown,WR,KC,NYG,0,0,0,0,0,6,4,42,0
A.J. Brown,WR,PHI,LA,0,0,0,0,0,10,6,109,1
David Montgomery,RB,DET,BAL,0,0,12,151,2,1,1,13,0
